Year,Country,alcoholdrug,demography,gdp,happiness,internet,landarea,lifeexpectancy,medianage,mentaldisorders,pollution,populationdensity,suicides
2013,Mauritania,0.8,3742965.0,3319.0,3.92,6.2,1030700.0,63.9,16.8,10.25,40.22,3.63,118.0
2013,Mauritius,1.9,1290698.0,17311.0,5.61,40.1,2030.0,74.7,33.1,11.6,15.56,635.81,102.0
2013,Mexico,1.9,117290680.0,15680.0,6.24,43.5,1943950.0,74.7,25.9,11.53,25.45,60.34,6166.0
2013,Moldova,2.7,3416532.0,5421.0,6.02,60.0,32885.3,69.1,34.2,12.14,17.43,103.89,691.0
2013,Mongolia,4.6,2845160.0,11545.0,4.98,17.7,1557255.0,68.6,25.3,10.6,42.32,1.83,606.0
2013,Montenegro,2.6,633951.0,16064.0,5.12,60.3,13450.0,76.6,36.0,10.86,23.27,47.13,128.0
2013,Morocco,0.9,33803530.0,7619.0,5.16,56.0,446300.0,72.1,25.9,15.15,29.26,75.74,2680.0
2013,Mozambique,1.9,25251738.0,1011.0,4.55,5.5,786380.0,56.5,16.0,13.16,22.64,32.11,3916.0
2013,Myanmar,1.3,50648336.0,4424.0,4.22,1.8,652790.0,64.8,26.7,10.76,42.88,77.6,1686.0
2013,Namibia,2.9,2204517.0,8793.0,4.57,13.9,823290.0,58.7,20.0,10.7,27.09,2.68,227.0
2013,Nepal,1.6,27381558.0,2316.0,4.81,13.3,143350.0,68.0,20.9,13.57,95.31,191.01,2338.0
2013,Netherlands,2.7,16867352.0,43744.0,7.32,94.0,33670.0,81.3,40.7,15.01,13.04,500.96,1996.0
2013,New Zealand,4.8,4450641.0,32989.0,7.42,82.8,263310.0,81.7,36.5,17.11,6.78,16.9,550.0
2013,Nicaragua,3.2,6119377.0,4527.0,5.92,15.5,120340.0,72.7,21.9,12.57,21.93,50.85,320.0
2013,Niger,0.7,18653204.0,880.0,3.67,1.1,1266700.0,60.2,14.4,11.42,63.03,14.73,1021.0
2013,Nigeria,0.8,174726130.0,5370.0,4.93,19.1,910770.0,51.7,16.7,10.76,49.74,191.84,6962.0
2013,North Macedonia,2.3,2102220.0,11544.0,4.98,65.2,25220.0,75.9,35.5,10.62,32.02,83.36,202.0
2013,Norway,2.7,5080667.0,81583.0,7.6,95.1,365107.84,81.7,38.0,14.72,7.63,13.95,598.0
2013,Oman,0.8,3816688.0,41680.0,6.85,66.4,309500.0,77.2,27.0,13.08,41.05,12.33,199.0
2013,Pakistan,1.9,205337550.0,4703.0,4.82,9.0,770880.0,65.1,19.2,12.38,61.02,266.37,16948.0
2013,Panama,2.3,3821557.0,18979.0,6.61,44.0,74177.0,77.0,26.7,11.45,13.4,51.52,131.0
2013,Paraguay,3.3,6005656.0,8102.0,5.56,36.9,397300.0,72.8,23.1,14.95,12.93,15.12,321.0
2013,Peru,1.8,30038810.0,11034.0,5.58,39.2,1280000.0,75.0,26.1,13.13,29.74,23.47,922.0
2013,Philippines,1.3,99700110.0,6472.0,5.55,32.7,298170.0,70.8,22.5,11.61,21.22,334.37,2347.0
2013,Poland,4.1,38607350.0,22510.0,6.01,62.8,306170.0,77.0,37.9,9.69,22.93,126.11,6954.0
