alcoholdrug,gdp,happiness,internet,lifeexpectancy,medianage,mentaldisorders,pollution,populationdensity
2.5,12366.0,7.16,39.2,79.3,28.5,12.16,19.7,91.66
0.9,2444.0,3.74,2.9,55.5,16.8,10.96,22.59,67.81
3.1,19813.0,5.89,57.8,77.2,41.1,10.85,21.97,77.77
2.4,27272.0,5.44,56.9,80.0,33.2,14.36,20.09,123.93
3.6,26725.0,6.7,70.5,77.8,38.9,10.41,20.08,135.97
1.3,681.0,4.5,1.2,57.1,15.7,13.77,41.49,30.28
4.2,43575.0,7.59,89.8,79.8,39.7,12.71,12.66,139.4
1.8,2590.0,4.37,7.0,60.4,21.1,11.63,40.44,40.41
2.0,11679.0,5.02,38.0,72.2,24.2,14.42,17.3,205.0
1.8,9985.0,6.02,31.4,75.7,24.1,13.81,19.32,61.35
0.7,10737.0,3.56,25.6,69.9,22.6,13.88,70.79,89.61
4.1,7607.0,6.33,18.9,71.9,22.9,12.61,33.63,296.2
3.6,21997.0,5.37,76.5,76.5,39.5,11.46,8.44,31.05
3.0,7389.0,4.87,18.1,48.2,18.7,11.51,17.97,64.27
2.9,1199.0,4.44,1.1,60.7,16.3,12.57,36.32,81.36
3.5,38432.0,7.44,88.7,80.4,41.2,13.88,7.28,17.73
3.5,36691.0,6.67,77.8,81.8,39.4,15.3,14.88,114.65
1.6,16403.0,3.8,18.0,64.0,20.3,12.86,41.13,6.88
0.8,1669.0,4.12,10.9,61.5,15.9,12.65,29.26,197.45
2.7,8946.0,4.35,31.5,72.4,35.0,10.48,26.78,55.0
3.3,43189.0,6.97,81.3,80.4,43.6,13.79,14.66,233.04
1.0,3283.0,4.97,9.0,61.7,19.3,11.25,28.21,115.17
2.5,24349.0,4.72,51.6,80.5,40.9,15.88,20.0,85.37
4.0,6650.0,5.98,12.3,71.2,19.0,12.88,31.73,138.42
0.7,1347.0,3.9,2.0,57.0,16.4,11.75,22.45,42.84
2.2,1648.0,4.62,9.0,61.6,20.6,14.72,18.76,361.19
2.9,4421.0,4.71,15.9,71.4,19.9,12.2,28.9,77.06
3.1,20886.0,4.91,68.0,74.9,39.4,10.6,19.36,109.06
